"","CCL2","MPO","ERBB2","CDH5","KDR","IRS1","FLT1","FGFR3","EGFR","group"
"GSM4669944",15.8441302536811,18.1004506146347,15.4815671815361,14.9961529673117,18.3180413310463,14.6742359086615,17.2591524245042,15.9961308945842,12.6744014420885,1
"GSM4669945",13.163541489737,16.62283015891,14.1634628692845,13.163541489737,17.9182775709123,17.0702853237016,17.9707447827996,17.5557091555808,14.748399162236,1
"GSM4669946",15.7445963319433,18.3634841649196,15.3966801950091,14.744622608885,16.5810860376544,15.637683149347,16.8914233101336,16.024699613979,17.609647687894,1
"GSM4669947",14.0637563562618,17.4966393138264,16.4421999310693,16.5997395319452,17.8078394884547,12.7419546285454,18.3564581531953,14.5491591122397,13.7418493233383,1
"GSM4669948",13.1115526222384,13.1115526222384,17.2813236652417,17.1113997959067,16.9187561735296,15.1114303624682,17.4333258530003,17.2813236652417,17.5037147927402,1
"GSM4669949",16.4237903396882,17.2311382286704,16.883217482736,14.4238395702565,17.4237821344302,13.4239052084011,18.1242186966904,16.883217482736,14.4238395702565,1
"GSM4669950",12.6556677644527,17.5134328701132,17.4103399483278,16.8253815886461,16.9033834467998,14.2404812020893,16.4628150587142,16.5623496674302,17.5134328701132,1
"GSM4669951",15.5120605511539,17.0970024697195,16.5824337073763,15.8905650498486,15.8905650498486,16.8339701221144,18.0969973241347,15.9974785574363,16.9974675312506,1
"GSM4669952",17.5320160189131,17.666316433982,14.4964469161887,15.7989725723829,15.9818336170049,16.2899516252976,17.0813574010514,16.6555970664775,17.048936159799,1
"GSM4669953",15.1946414465128,18.1014987003397,16.4170118843435,14.9316147348268,18.3375652842992,15.6096693280491,17.0019688891359,14.6096981810843,14.6096981810843,1
"GSM4669954",11.9432502805618,18.2466692692601,16.7502518918553,16.6977849566717,17.5867474011989,14.7502911528799,17.4023238294503,15.527876919995,14.5279074560705,1
"GSM4669955",14.1767589705895,17.4246167811633,17.1766908053194,15.9840582477701,16.7616565520788,16.4986247430704,17.5690059094949,16.6361268503707,16.4986247430704,1
"GSM4669956",12.8764779995046,18.0462164652121,14.4613125926066,16.4612646243256,17.0462217951393,16.8762981261757,17.2686126936414,15.198252603888,17.2686126936414,1
"GSM4669957",14.0987607864332,16.6836547614184,16.558125125286,14.6836958772505,18.5249471346759,16.4206230966765,17.6222476619481,13.0988430130202,16.2686218306232,1
"GSM4669958",18.5294739385847,14.7221685824242,16.7221285485626,14.7221685824242,14.7221685824242,15.7221418933066,18.3070821527192,14.7221685824242,14.7221685824242,1
"GSM4669959",13.1503675435263,16.8506607813085,15.4721686896286,15.7351978056873,18.2376763645851,13.1503675435263,18.735174662693,13.1503675435263,13.1503675435263,1
"GSM4669960",15.3279772994348,17.1353071679388,16.7202730091589,17.16084208423,17.2821475864444,15.5758992747619,17.3940397910158,13.328082519609,17.3723448468285,1
"GSM4669961",11.4604054207853,17.6693536415815,15.3668180939193,17.7266865469979,16.4599093597415,15.1603724692076,17.629825469645,14.4599573731042,17.4371814078812,1
"GSM4669962",14.0490106364588,19.3828283669028,14.785942184629,12.464218353667,14.785942184629,16.9875360777347,16.0489467995572,12.464218353667,15.0489680788383,1
"GSM4669963",12.0130544220113,18.9552226758592,16.8200727230604,14.3347032516872,17.5976751063399,13.5977842054771,16.8200727230604,13.5977842054771,13.5977842054771,1
"GSM4669964",13.7819238775313,17.2412623803675,13.7819238775313,18.1037546662652,17.1037597878053,13.7819238775313,18.3667882185072,13.7819238775313,14.7818726645844,1
"GSM4669965",14.0247645328214,17.3466147247473,15.6096693280491,15.6096693280491,18.7795686818645,15.0247212539177,17.609647687894,14.0247645328214,14.0247645328214,1
"GSM4669966",16.7616565520788,16.7616565520788,16.7616565520788,16.7616565520788,16.7616565520788,16.7616565520788,16.7616565520788,16.7616565520788,16.7616565520788,1
"GSM4669967",14.4270136737887,16.7488893714195,16.4269645514164,15.4269809257264,18.0357627883038,16.8054723959568,17.9876686820925,14.1051019526538,16.192502187377,1
"GSM4669968",14.6742359086615,17.1336223785222,17.1336223785222,15.2591800156072,17.7616500599949,16.4815514151988,17.5321693331991,14.9961529673117,16.7616565520788,1
"GSM4669969",13.3392507454106,16.9240856344032,16.9240856344032,16.5090520023123,16.9240856344032,15.7985684632116,18.316395875234,15.1465062307286,16.6610535488834,1
"GSM4669970",15.7616695361589,16.0835924374282,16.7002565719423,16.0835924374282,17.8771267780226,16.5690133290121,17.2210846295831,14.4986714851277,17.4986169525803,1
"GSM4669971",15.5426779477012,12.010502349949,15.9032609786294,14.787811224882,15.4122841695377,15.1335751920892,18.5559482887816,10.7885760742686,18.5800119317496,1
